,Historical Price,Validation (Actual),LSTM Predictions
2000-06-19,0.30397110338744,,
2000-06-20,0.299958914090685,,
2000-06-21,0.330336918766111,,
2000-06-22,0.312377595247306,,
2000-06-23,0.282954873737774,,
2000-06-26,0.316962954443597,,
2000-06-27,0.272255702279762,,
2000-06-28,0.261747587454929,,
2000-06-29,0.224033008065438,,
2000-06-30,0.242871192096866,,
2000-07-03,0.233585839724377,,
2000-07-05,0.208480998124685,,
2000-07-06,0.221167158567756,,
2000-07-07,0.222351709693465,,
2000-07-10,0.233815107684192,,
2000-07-11,0.252691503042255,,
2000-07-12,0.259837021123141,,
2000-07-13,0.284215847516754,,
2000-07-14,0.282037801898516,,
2000-07-17,0.278942684441019,,
2000-07-18,0.273440253405471,,
2000-07-19,0.256015888459566,,
2000-07-20,0.262932138580638,,
2000-07-21,0.266294735324584,,
