,Historical Price,Forecast,Lower Confidence,Upper Confidence
2023-05-25,37.9528112382801,,,
2023-05-26,38.9181197073737,,,
2023-05-29,38.9181197073737,,,
2023-05-30,40.0822857182373,,,
2023-05-31,37.8069157553736,,,
2023-06-01,39.7415298300789,,,
2023-06-02,39.2988469607119,,,
2023-06-05,39.1429586365105,,,
2023-06-06,38.6263287415608,,,
2023-06-07,37.4521698894023,,,
2023-06-08,38.4865393579955,,,
2023-06-09,38.7463809636324,,,
2023-06-12,39.4579472067613,,,
2023-06-13,40.9970090247648,,,
2023-06-14,42.9708058368147,,,
2023-06-15,42.6270154047412,,,
2023-06-16,42.6659916455867,,,
2023-06-19,42.6659916455867,,,
2023-06-20,43.7813117682438,,,
2023-06-21,43.0187765947784,,,
2023-06-22,42.9987887789602,,,
2023-06-23,42.1832858935765,,,
2023-06-26,40.6072466163094,,,
2023-06-27,41.8504887602031,,,
2023-06-28,41.0919511499014,,,
2023-06-29,40.7971308665825,,,
2023-06-30,42.2762292371313,,,
2023-07-03,42.3871616149224,,,
2023-07-04,42.3871616149224,,,
2023-07-05,42.291220098995,,,
2023-07-06,42.0773504697399,,,
2023-07-07,42.4771067861045,,,
2023-07-10,42.1543035606401,,,
2023-07-11,42.3791664885952,,,
2023-07-12,43.8752545025894,,,
2023-07-13,45.9489903937304,,,
2023-07-14,45.4412998719475,,,
2023-07-17,46.4326955365315,,,
2023-07-18,47.4650662235429,,,
2023-07-19,47.0483202637329,,,
2023-07-20,45.492268802284,,,
2023-07-21,44.2820065544903,,,
2023-07-24,44.5848219641365,,,
2023-07-25,45.6511719380389,,,
2023-07-26,45.424310228502,,,
2023-07-27,45.8720373028303,,,
2023-07-28,46.7215194751049,,,
2023-07-31,46.7005322684958,,,
2023-08-01,46.4786675129134,,,
2023-08-02,44.2420309228539,,,
2023-08-03,44.4878810574181,,,
2023-08-04,44.6527805379184,,,
2023-08-07,45.3888318554246,,,
2023-08-08,44.6367902852639,,,
2023-08-09,42.5280757164409,,,
2023-08-10,42.3621768451497,,,
2023-08-11,40.8301107626826,,,
2023-08-14,43.7263452747436,,,
2023-08-15,43.913231352644,,,
2023-08-16,43.4595079335703,,,
2023-08-17,43.3170947458654,,,
2023-08-18,43.2726218556699,,,
2023-08-21,46.9383872767327,,,
2023-08-22,45.6401786393388,,,
2023-08-23,47.0872965045785,,,
2023-08-24,47.1342678717513,,,
2023-08-25,45.9899654161578,,,
2023-08-28,46.8064676923324,,,
2023-08-29,48.7542803438186,,,
2023-08-30,49.233987923456,,,
2023-08-31,49.3249324854289,,,
2023-09-01,48.4794478763179,,,
2023-09-04,48.4794478763179,,,
2023-09-05,48.5184241171635,,,
2023-09-06,47.036327574242,,,
2023-09-07,46.2167574713781,,,
2023-09-08,45.5481082045293,,,
2023-09-11,45.1543147648606,,,
2023-09-12,44.846476238419,,,
2023-09-13,45.461153815567,,,
2023-09-14,45.5571034861461,,,
2023-09-15,43.8769847752751,,,
2023-09-18,43.9429501737983,,,
2023-09-19,43.4971839958992,,,
2023-09-20,42.2168555791081,,,
2023-09-21,40.9954962306938,,,
2023-09-22,41.5881853416674,,,
2023-09-25,42.1998644916097,,,
2023-09-26,41.8890275379625,,,
2023-09-27,42.4457355224689,,,
2023-09-28,43.066409954028,,,
2023-09-29,43.47619500546,,,
2023-10-02,44.7585223737214,,,
2023-10-03,43.4941855686936,,,
2023-10-04,44.0179108539383,,,
2023-10-05,44.6645716546126,,,
2023-10-06,45.7380085942173,,,
2023-10-09,45.2492649597046,,,
2023-10-10,45.7739897206845,,,
2023-10-11,46.781461261766,,,
2023-10-12,46.9203883889588,,,
2023-10-13,45.4371663979222,,,
2023-10-16,46.0708340140389,,,
2023-10-17,43.9149648532127,,,
2023-10-18,42.1738781224945,,,
2023-10-19,42.0789279276505,,,
2023-10-20,41.3653022527178,,,
2023-10-23,42.9524697202152,,,
2023-10-24,43.6401090260327,,,
2023-10-25,41.7570967409162,,,
2023-10-26,40.3048584976707,,,
2023-10-27,40.4787672755955,,,
2023-10-30,41.1394207365626,,,
2023-10-31,40.7586204814515,,,
2023-11-01,42.3028104923353,,,
2023-11-02,43.4831913356064,,,
2023-11-03,44.981405462671,,,
2023-11-06,45.7270143611301,,,
2023-11-07,45.9309074111109,,,
2023-11-08,46.5495828911996,,,
2023-11-09,46.9253857676348,,,
2023-11-10,48.3096596608866,,,
2023-11-13,48.5945102454186,,,
2023-11-14,49.6299671070857,,,
2023-11-15,48.8623697424522,,,
2023-11-16,49.4540593776905,,,
2023-11-17,49.2721547938841,,,
2023-11-20,50.3825723356912,,,
2023-11-21,49.9178161188233,,,
2023-11-22,48.6904599159978,,,
2023-11-23,48.6904599159978,,,
2023-11-24,47.7509527249099,,,
2023-11-27,48.216708417513,,,
2023-11-28,47.7959291329939,,,
2023-11-29,48.1147618925227,,,
2023-11-30,46.7454801352988,,,
2023-12-01,46.7404827566228,,,
2023-12-04,45.4861407089469,,,
2023-12-05,46.5455849882588,,,
2023-12-06,45.4830510183555,,,
2023-12-07,46.5755718359513,,,
2023-12-08,47.485172882623,,,
2023-12-11,46.6065582452335,,,
2023-12-12,47.6361066826751,,,
2023-12-13,48.066917727857,,,
2023-12-14,48.3288028643713,,,
2023-12-15,48.8685661228358,,,
2023-12-18,50.0550457298681,,,
